N;Player;Date;Event;Round;Tie;Partner;Opponent;Result;Score
1;Norma Baylon;1964-09-02;WG;R16;Belgium;;Christiane Mercelis;W;8-6 6-2
2;Ana María Bocio;1964-09-02;WG;R16;Belgium;;Monique Bedoret;W;6-1 6-3
3;Nora Somoza;1965-01-15;WG;R16;New Zealand;;Elizabeth Terry;L;5-7 4-6
4;Graciela Morán;1966-05-12;WG;R16;Germany F.R.;;Helga Masthoff;L;0-6 3-6
5;Raquel Giscafré;1966-05-12;WG;R16;Germany F.R.;Graciela Morán;Edda Buding / Helga Hosl;L;4-6 1-6
6;Inés Roget;1970-12-26;WG;R16;New Zealand;;Robyn Hunt;L;4-6 9-11
7;Beatriz Araujo;1972-03-20;WG;R32;Finland;;Leena Mutanen;L;7-9 10-8 4-6
8;Elvira Weisenberger;1973-05-01;WG;R32;Sweden;Inés Roget;Christina Sandberg / Ingrid Bentzer;L;5-7 3-6
9;Viviana González Locicero;1976-08-29;WG;R32;New Zealand;;Pauline Elliott;W;7-5 6-0
10;Ivanna Madruga;1978-12-03;WG;R32;Denmark;;Dorte Ekner;W;11-9 2-6 6-4
11;Claudia Casabianca;1978-12-03;WG;R16;France;Raquel Giscafré;Frederique Thibault / Brigitte Simon-Glinel;L;4-6 6-3 2-6
12;Emilse Raponi de Longo;1979-05-06;WG;R16;Hungary;;Anna Nemeth;W;8-6 7-5
13;Adriana Villagrán;1979-05-06;WG;R16;Hungary;Ivanna Madruga;Eva Rozsavolgyi / Judith Szorenyi;W;6-4 6-4
14;Liliana Giussani;1980-05-25;WG;R32;Netherlands;Adriana Villagrán;Elly Appel / Marcella Mesker;L;1-6 5-7
15;Gabriela Sabatini;1984-07-22;WG;R16;Venezuela;;Claudia Borgiani;W;6-1 6-1
16;Mercedez Paz;1985-10-14;WG;R16;New Zealand;;Julie Richardson;W;6-3 6-4
17;Bettina Fulco;1987-08-02;WG;R32;Switzerland;;Emanuela Zardo;W;6-4 6-2
18;Cristina Tessi;1988-12-11;WG;R32;Greece;Mercedes Paz;Olga Tsarbopoulou / Christina Papadaki;W;6-1 6-2
19;Patricia Tarabini;1989-10-09;WG;R32;Philippines;;Dyan Castillejo;W;6-1 6-1
20;Florencia Labat;1989-10-09;WG;R16;Bulgaria;Mercedes Paz;Manuela Maleeva-Fragniere / Katerina Maleeva;L;1-6 6-3 1-6
21;Inés Gorrochategui;1990-07-29;WG;R16;Poland;Bettina Fulco;Magdalena Feistel / Renata Skrzypczynska;W;6-3 6-2
22;Paola Suárez;1996-04-28;WG I;QF;France;;Nathalie Tauziat;W;7-6(5) 6-1
23;Mariana Díaz Oliva;1997-03-02;WG II;QF;Korea, Rep.;;Sung-Hee Park;L;3-6 1-6
24;Laura Montalvo;1997-03-02;WG II;QF;Korea, Rep.;Mercedes Paz;Sung-Hee Park / Eun-Ha Kim;W;6-7(3) 6-4 7-6(2)
25;María José Gaidano;1997-07-13;WG I;QF;Switzerland;;Patty Schnyder;L;1-6 0-6
26;Celeste Contín;1998-07-26;WG II;QF;Australia;;Nicole Pratt;L;2-6 4-6
27;Erica Krauth;1998-07-26;WG II;QF;Australia;Laura Montalvo;Kerry-Anne Guse / Rachel McQuillan;L;4-6 3-6
28;María Emilia Salerni;2000-04-26;G1 Americas;RR;Paraguay;;Sarah Tami-Masi;W;6-0 6-3
29;Gisela Dulko;2000-04-28;G1 Americas;RR;Cuba;Laura Montalvo;Yanet Nunez-Mojarena / Yamile Fors-Guerra;W;6-1 6-1
30;Clarisa Fernández;2001-04-29;Qualifiers;R16;Japan;;Shinobu Asagoe;W;6-3 4-6 10-8
31;Natalia Garbellotto;2003-04-26;WG;R16;Slovenia;;Katarina Srebotnik;L;1-6 2-6
32;Natalia Gussoni;2003-04-26;WG;R16;Slovenia;;Maja Matevzic;W;6-4 6-2
33;María José Argeri;2006-04-23;WG II;QF;Croatia;Mariana Díaz Oliva;Matea Mezak / Karolina Sprem;L;3-6 3-6
34;Jorgelina Cravero;2007-04-18;G1 Americas;RR;Dominican Republic;;Leyla Esther Cabrera;W;6-0 6-0
35;Betina Jozami;2008-02-03;WG II;QF;Austria;María Irigoyen;Barbara Schwartz / Yvonne Meusburger-Garamszegi;W;6-1 4-6 6-3
36;María Irigoyen;2008-02-03;WG II;QF;Austria;Betina Jozami;Barbara Schwartz / Yvonne Meusburger-Garamszegi;W;6-1 4-6 6-3
37;Aranza Salut;2009-04-26;WG;QF;Ukraine;;Olga Savchuk;L;2-6 1-6
38;Paula Ormaechea;2009-04-26;WG;QF;Ukraine;María Irigoyen;Olga Savchuk / Mariya Koryttseva;L;2-6 0-6
39;Mailén Auroux;2010-02-07;WG II;QF;Estonia;María Irigoyen;Anett Schutting / Margit Ruutel;W;7-5 6-4
40;Florencia Molinero;2011-02-02;G1 Americas;RR;Bolivia;;Maria Ines Deheza;W;6-4 6-3
41;Victoria Bosio;2014-04-20;WG;QF;Russia;Nadia Podoroska;Elena Vesnina / Valeria Solovyeva;L;2-6 1-6
42;Nadia Podoroska;2014-04-20;WG;QF;Russia;Victoria Bosio;Elena Vesnina / Valeria Solovyeva;L;2-6 1-6
43;Tatiana Búa;2015-02-08;WG II;QF;USA;Nadia Podoroska;Taylor Townsend / CoCo Vandeweghe;L;2-6 3-6
44;Catalina Pella;2016-02-03;G1 Americas;RR;Ecuador;María Irigoyen;Rafaella Baquerizo / Marie Elise Casares;W;6-0 6-0
45;María Lourdes Carlé;2016-04-17;WG II;QF;Ukraine;Guadalupe Pérez Rojas;Olga Savchuk / Kateryna Volodko;L;1-6 3-6
46;Guadalupe Pérez Rojas;2016-04-17;WG II;QF;Ukraine;María Lourdes Carlé;Olga Savchuk / Kateryna Volodko;L;1-6 3-6
47;Stephanie Petit;2018-02-07;G1 Americas;RR;Guatemala;María Irigoyen;Daniela Schippers / Melissa Morales;W;6-4 6-1
48;Carla Lucero;2019-02-07;G1 Americas;RR;Chile;Jazmín Ortenzi;Alexa Guarachi / Barbara Gatica;L;1-6 1-6
49;Jazmín Ortenzi;2019-02-07;G1 Americas;RR;Chile;Carla Lucero;Alexa Guarachi / Barbara Gatica;L;1-6 1-6
50;Guillermina Naya;2020-02-06;G1 Americas;RR;Chile;Victoria Bosio;Barbara Gatica / Alexa Guarachi;L;2-6 4-6
51;Solana Sierra;2022-04-13;G1 Americas;RR;Colombia;;Yuliana Lizarazo;W;6-2 6-3
52;Julia Riera;2022-04-13;G1 Americas;RR;Colombia;María Lourdes Carlé;Maria Paulina Perez-Garcia / Yuliana Lizarazo;W;6-4 6-3
53;Martina Capurro;2023-04-11;G1 Americas;RR;Guatemala;;Kirsten-Andrea Weedon;W;6-2 6-3
54;Berta Bonardi;2023-04-11;G1 Americas;RR;Guatemala;Guiillermina Naya;Melissa Morales / Deborah Dominguez Collado;W;7-5 6-3
55;Julieta Estable;2024-04-10;G1 Americas;RR;Ecuador;María Lourdes Carlé;Camila Romero / Tania Isabel Andrade Sabando;W;6-1 6-2
56;Luisina Giovannini;2024-04-11;G1 Americas;RR;Venezuela;Julieta Estable;Fabiana Gamboa / Sabrina Balderrama;W;3-6 6-1 10-4
